id,created_at,updated_at,email,first_name,last_name,phone,accepts_marketing,accepts_sms_marketing,state,default_address_country_code,default_address_province_code,default_address_city,default_address_zip,default_address_company,tags,note,orders_count,total_spent
1,2022-06-16T00:00:00+00:00,2022-06-16T00:00:00+00:00,sarah47@example.net,Chelsea,Jackson,,False,False,enabled,US,MA,Bonnieport,22381,,,,1,93.77
2,2026-04-18T00:00:00+00:00,2026-04-18T00:00:00+00:00,richardclark@example.com,Katherine,Garcia,4586533476,False,False,enabled,GB,ENG,North Williamville,03243,,,,2,1021.38
3,2022-09-26T00:00:00+00:00,2022-09-26T00:00:00+00:00,russellcameron@example.net,Cassie,Ramsey,,True,False,enabled,US,FL,New James,03118,,,,3,988.95
4,2026-01-18T00:00:00+00:00,2026-01-18T00:00:00+00:00,carterjillian@example.net,David,Delacruz,,False,False,enabled,US,MA,Harrishaven,33822,,,,1,109.9
5,2024-04-16T00:00:00+00:00,2024-04-16T00:00:00+00:00,matthewli@example.com,Paul,Ortiz,(934)627-5904x40097,False,False,enabled,US,FL,Nancymouth,78967,,,,1,191.4
6,2023-12-07T00:00:00+00:00,2023-12-07T00:00:00+00:00,nstone@example.net,Anthony,Page,228.297.4881x42015,False,False,enabled,US,CA,North Andrea,74543,,,,1,128.2
7,2024-10-06T00:00:00+00:00,2024-10-06T00:00:00+00:00,johnmelendez@example.com,Michael,Miller,,True,False,invited,US,MA,Lake Amberview,69563,,,,2,537.49
8,2022-11-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,tsmith@example.org,Katie,Jackson,+1-471-343-2502x540,False,False,enabled,US,CA,Hartmanhaven,36090,,,,1,146.68
9,2024-11-11T00:00:00+00:00,2024-11-11T00:00:00+00:00,valenciarebecca@example.com,Jacob,Martinez,,True,True,enabled,CA,ON,New Jamie,30346,,,,1,238.1
10,2023-01-03T00:00:00+00:00,2023-01-03T00:00:00+00:00,mcharles@example.net,Matthew,Wilson,,False,False,enabled,US,CA,Michaelton,06007,,,,1,57.68
11,2023-11-26T00:00:00+00:00,2023-11-26T00:00:00+00:00,wolflisa@example.org,Victoria,Henry,360-337-6306x0364,False,False,enabled,US,CO,New Bethview,79978,,,,1,184.62
12,2026-06-22T00:00:00+00:00,2026-06-22T00:00:00+00:00,webbjamie@example.com,Matthew,Banks,,False,False,enabled,US,CA,East Peterborough,02262,,,,3,1182.38
13,2022-11-11T00:00:00+00:00,2022-11-11T00:00:00+00:00,david25@example.net,Calvin,Stone,,True,False,invited,US,FL,New Christopher,76753,,,,1,423.24
14,2026-01-24T00:00:00+00:00,2026-01-24T00:00:00+00:00,graydonald@example.net,Nicholas,Stanley,357.815.1004x0441,False,False,enabled,US,TX,Williamborough,79220,,,,0,0.0
15,2024-11-17T00:00:00+00:00,2024-11-17T00:00:00+00:00,colemantyler@example.net,Sharon,Phillips,(375)646-3062x713,True,False,enabled,US,CA,Fischerland,97301,,,,1,1725.23
16,2023-07-06T00:00:00+00:00,2023-07-06T00:00:00+00:00,nathanmunoz@example.com,Brenda,Bean,551-855-5391,False,False,enabled,US,NY,Port Anthonyberg,93143,,,,2,1087.18
17,2025-10-22T00:00:00+00:00,2025-10-22T00:00:00+00:00,harrisjohn@example.org,Holly,Sanchez,,True,False,disabled,US,IL,Shawshire,50584,,,,3,708.22
18,2025-07-30T00:00:00+00:00,2025-07-30T00:00:00+00:00,rwilson@example.net,Judith,Espinoza,,True,False,enabled,US,TX,Matthewton,84654,,,,2,605.14
