id,name,order_number,customer_id,created_at,updated_at,processed_at,closed_at,cancelled_at,financial_status,fulfillment_status,email,subtotal_price,total_discounts,total_tax,total_shipping_price_set_shop_money_amount,total_tip_received,total_price,currency,source_name,landing_site,landing_site_ref,cart_token,note_attributes,client_details_browser_width,client_details_user_agent,browser_ip,test,tags,note,discount_codes,shipping_address_country_code,shipping_address_province_code,billing_address_country_code
5000001,#01001,1001,2141,2026-01-01T04:30:00+00:00,2026-01-01T04:30:00+00:00,2026-01-01T04:30:00+00:00,2026-01-08T04:30:00+00:00,,paid,fulfilled,williamsoncole@example.net,962.89,10.07,76.23,7.95,0.0,1037.0,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b41,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",356,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,WA,US
5000002,#01002,1002,2030,2026-01-01T07:22:00+00:00,2026-01-01T07:22:00+00:00,2026-01-01T07:22:00+00:00,2026-01-08T07:22:00+00:00,,paid,fulfilled,justin44@example.com,288.64,6.54,22.57,14.95,0.0,319.62,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b42,[],1432,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],GB,ENG,GB
5000003,#01003,1003,2141,2026-01-01T09:33:00+00:00,2026-01-01T09:33:00+00:00,2026-01-01T09:33:00+00:00,2026-01-08T09:33:00+00:00,,paid,fulfilled,williamsoncole@example.net,203.92,5.28,15.9,7.95,0.0,222.49,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b43,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",384,Mozilla/5.0 (mobile) Firefox/120.0,0.0.0.0,False,,,[],US,WA,US
5000004,#01004,1004,249,2026-01-01T08:10:00+00:00,2026-01-01T08:10:00+00:00,2026-01-01T08:10:00+00:00,2026-01-08T08:10:00+00:00,,paid,fulfilled,adam48@example.com,136.56,4.12,10.59,0.0,0.0,143.03,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b44,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",386,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,NY,US
5000005,#01005,1005,669,2026-01-01T17:15:00+00:00,2026-01-01T17:15:00+00:00,2026-01-01T17:15:00+00:00,2026-01-08T17:15:00+00:00,,paid,fulfilled,austinbishop@example.com,442.77,12.45,34.43,7.95,0.0,472.7,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b45,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",1434,Mozilla/5.0 (desktop) Chrome/120.0,0.0.0.0,False,,,[],GB,ENG,GB
5000006,#01006,1006,281,2026-01-01T21:03:00+00:00,2026-01-01T21:03:00+00:00,2026-01-01T21:03:00+00:00,2026-01-08T21:03:00+00:00,,paid,fulfilled,jennifer18@example.org,54.35,2.33,4.16,9.95,0.0,66.13,USD,web,https://northwindco.com/collections/direct,,cart_00000000004c4b46,[],1422,Mozilla/5.0 (desktop) Safari/120.0,0.0.0.0,False,,,[],CA,AB,CA
5000007,#01007,1007,3349,2026-01-01T10:41:00+00:00,2026-01-01T10:41:00+00:00,2026-01-01T10:41:00+00:00,2026-01-08T10:41:00+00:00,,paid,fulfilled,deleonwilliam@example.org,307.69,7.92,23.99,9.95,0.0,333.71,USD,web,https://northwindco.com/collections/google_ads,https://google.com,cart_00000000004c4b47,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",390,Mozilla/5.0 (mobile) Edge/120.0,0.0.0.0,False,,,[],US,NY,US
5000008,#01008,1008,2762,2026-01-01T07:40:00+00:00,2026-01-01T07:40:00+00:00,2026-01-01T07:40:00+00:00,2026-01-08T07:40:00+00:00,,paid,fulfilled,mary17@example.com,189.56,1.9,15.01,7.95,0.0,210.62,USD,web,https://northwindco.com/collections/organic_search,https://google.com,cart_00000000004c4b48,"[{""name"": ""utm_source"", ""value"": ""google""}, {""name"": ""utm_medium"", ""value"": ""organic""}]",367,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,MA,US
5000009,#01009,1009,2132,2026-01-01T15:17:00+00:00,2026-01-01T15:17:00+00:00,2026-01-01T15:17:00+00:00,2026-01-08T15:17:00+00:00,,paid,fulfilled,michelle41@example.com,686.0,17.54,53.48,0.0,0.0,721.94,USD,web,https://northwindco.com/collections/meta,https://facebook.com,cart_00000000004c4b49,"[{""name"": ""utm_source"", ""value"": ""facebook""}, {""name"": ""utm_medium"", ""value"": ""cpc""}]",362,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,TX,US
5000010,#01010,1010,1089,2026-01-01T19:58:00+00:00,2026-01-01T19:58:00+00:00,2026-01-01T19:58:00+00:00,2026-01-08T19:58:00+00:00,,paid,fulfilled,matthew73@example.net,392.04,1.67,31.23,9.95,0.0,431.55,USD,web,https://northwindco.com/collections/referral,https://referral.com,cart_00000000004c4b4a,"[{""name"": ""utm_source"", ""value"": ""referral""}, {""name"": ""utm_medium"", ""value"": ""referral""}]",363,Mozilla/5.0 (mobile) Chrome/120.0,0.0.0.0,False,,,[],US,OR,US
